New Tripoli tab-delimited output of processed data for:
23-PP-5 z30 Pb-2399 in New Session-23-PP-5 z30 Pb-2399-report.tsv
produced on: 03/19/26 07:54:24

Data is presented by cycles.
Any discarded values are wrapped in &s.
Any missing values are represented as a blank entry.

Cycle            	Time             	204Pb            	205Pb            	206Pb            	207Pb            	208Pb            	204/205          	206/205          	207/205          	208/205          	206/207          	206/208          	207/208          	206/204          	207/204          	208/204          	alpha 204/206    	alpha 207/206    	alpha 208/206
54.0             	3295.164         	64.7151343       	124207.707       	641360.4702      	32063.73975      	141371.0453      	5.210235006E-4   	5.163612514      	0.258146137      	1.138182555      	20.00267202      	4.536717323      	0.2268055647     	9910.517487      	495.4596803      	2184.512894      	1.0              	-82.2868196      	369.936557
55.0             	3331.054         	65.36099627      	123604.8352      	637598.0902      	31810.89169      	140684.5119      	5.287899633E-4   	5.158358807      	0.257359606      	1.138179681      	20.04338943      	4.532112894      	0.2261150944     	9755.024045      	486.6953305      	2152.423003      	1.0              	-82.268779       	371.2199486
56.0             	3366.944         	67.59139981      	122785.0137      	633773.9716      	31708.45664      	140134.8818      	5.504857455E-4   	5.161655745      	0.2582437032     	1.141302815      	19.98753767      	4.522599681      	0.2262709772     	9376.547509      	469.1196917      	2073.264974      	1.0              	-82.28010458     	369.7779023
57.0             	3402.834         	67.83184337      	122375.7706      	630596.5817      	31638.56007      	139301.4899      	5.542914504E-4   	5.152952898      	0.2585361458     	1.138309399      	19.93126679      	4.52684736       	0.2271229123     	9296.468301      	466.426364       	2053.629725      	1.0              	-82.25017736     	369.3030714
58.0             	3438.725         	67.5768443       	121708.5688      	627323.2902      	31532.69721      	138647.0335      	5.552348938E-4   	5.154306686      	0.259083625      	1.139172326      	19.89437459      	4.524606653      	0.2274314597     	9283.110165      	466.6198538      	2051.694407      	1.0              	-82.25483939     	368.4170266
59.0             	3474.615         	65.91017054      	121031.8856      	624339.1535      	31383.91072      	137567.1788      	5.445686501E-4   	5.15846837       	0.2593028323     	1.136619315      	19.89360596      	4.538431033      	0.2281351627     	9472.576817      	476.16188        	2087.191972      	1.0              	-82.2691556      	368.0633087
60.0             	3510.505         	67.20975883      	120384.8939      	621032.4097      	31192.91618      	136927.4819      	5.582906346E-4   	5.158723735      	0.2591098863     	1.137414151      	19.90940526      	4.535484046      	0.227806104      	9240.211846      	464.1129016      	2037.315478      	1.0              	-82.27003331     	368.3746191
61.0             	3776.562         	60.92876851      	115595.371       	595872.7248      	29894.87678      	131484.3521      	5.27086578E-4    	5.154814764      	0.2586165565     	1.137453438      	19.93226897      	4.531890795      	0.2273645214     	9779.825514      	490.6528971      	2158.001143      	1.0              	-82.25658841     	369.172699
62.0             	3812.571         	60.32229135      	114809.6949      	592327.9097      	29736.54556      	130877.618       	5.254111282E-4   	5.159215082      	0.2590072692     	1.139952667      	19.91919029      	4.525815176      	0.2272087926     	9819.386772      	492.9611409      	2169.639367      	1.0              	-82.27172185     	368.5403766
63.0             	3848.471         	60.44721711      	114152.7204      	588668.7684      	29577.5494       	130113.9388      	5.295293614E-4   	5.156852737      	0.259105077      	1.139823373      	19.90255381      	4.524256001      	0.2273203753     	9738.55864       	489.3120116      	2152.521572      	1.0              	-82.26360056     	368.3823847
